"CAMPAIGN_PERFORMANCE_REPORT (Apr 12, 2016-May 11, 2016)"
Day,Campaign ID,Campaign,Impressions,Clicks,Cost
2016-04-23,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-04-26,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-04-27,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-05-01,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-05-02,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-05-03,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-05-04,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-05-05,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-05-07,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-05-09,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-05-10,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-04-13,374981554,Hindwarehome - Remarketing,0,0,0
2016-04-14,374981554,Hindwarehome - Remarketing,0,0,0
2016-04-15,374981554,Hindwarehome - Remarketing,0,0,0
2016-04-19,374981554,Hindwarehome - Remarketing,0,0,0
2016-04-25,374981554,Hindwarehome - Remarketing,0,0,0
2016-04-26,374981554,Hindwarehome - Remarketing,0,0,0
2016-04-28,374981554,Hindwarehome - Remarketing,0,0,0
2016-04-30,374981554,Hindwarehome - Remarketing,0,0,0
2016-05-02,374981554,Hindwarehome - Remarketing,0,0,0
2016-05-05,374981554,Hindwarehome - Remarketing,0,0,0
2016-05-07,374981554,Hindwarehome - Remarketing,0,0,0
2016-05-08,374981554,Hindwarehome - Remarketing,0,0,0
2016-05-10,374981554,Hindwarehome - Remarketing,0,0,0
2016-04-13,377276674,HINDWAREHOMES ( GDN),0,0,0
2016-04-14,377276674,HINDWAREHOMES ( GDN),0,0,0
2016-04-16,377276674,HINDWAREHOMES ( GDN),0,0,0
2016-04-18,377276674,HINDWAREHOMES ( GDN),0,0,0
2016-04-22,377276674,HINDWAREHOMES ( GDN),0,0,0
2016-04-25,377276674,HINDWAREHOMES ( GDN),0,0,0
2016-04-26,377276674,HINDWAREHOMES ( GDN),0,0,0
2016-04-28,377276674,HINDWAREHOMES ( GDN),0,0,0
2016-05-01,377276674,HINDWAREHOMES ( GDN),0,0,0
2016-05-03,377276674,HINDWAREHOMES ( GDN),0,0,0
2016-05-07,377276674,HINDWAREHOMES ( GDN),0,0,0
2016-05-09,377276674,HINDWAREHOMES ( GDN),0,0,0
2016-04-14,377282074,LICHFL - Search campaign,0,0,0
2016-04-16,377282074,LICHFL - Search campaign,0,0,0
2016-04-18,377282074,LICHFL - Search campaign,0,0,0
2016-04-21,377282074,LICHFL - Search campaign,0,0,0
2016-04-24,377282074,LICHFL - Search campaign,0,0,0
2016-04-26,377282074,LICHFL - Search campaign,0,0,0
2016-04-27,377282074,LICHFL - Search campaign,0,0,0
2016-04-29,377282074,LICHFL - Search campaign,0,0,0
2016-04-30,377282074,LICHFL - Search campaign,0,0,0
2016-05-07,377282074,LICHFL - Search campaign,0,0,0
2016-05-08,377282074,LICHFL - Search campaign,0,0,0
2016-05-09,377282074,LICHFL - Search campaign,0,0,0
2016-05-11,377282074,LICHFL - Search campaign,0,0,0
2016-04-13,377911114,LICHFL-(GDN),0,0,0
2016-04-14,377911114,LICHFL-(GDN),0,0,0
2016-04-16,377911114,LICHFL-(GDN),0,0,0
2016-04-17,377911114,LICHFL-(GDN),0,0,0
2016-04-23,377911114,LICHFL-(GDN),0,0,0
2016-04-24,377911114,LICHFL-(GDN),0,0,0
2016-04-26,377911114,LICHFL-(GDN),0,0,0
2016-04-27,377911114,LICHFL-(GDN),0,0,0
2016-04-29,377911114,LICHFL-(GDN),0,0,0
2016-05-01,377911114,LICHFL-(GDN),0,0,0
2016-05-03,377911114,LICHFL-(GDN),0,0,0
2016-05-06,377911114,LICHFL-(GDN),0,0,0
2016-05-08,377911114,LICHFL-(GDN),0,0,0
2016-05-09,377911114,LICHFL-(GDN),0,0,0
2016-05-11,377911114,LICHFL-(GDN),0,0,0
2016-04-12,377915914,LICHL-Display,0,0,0
2016-04-13,377915914,LICHL-Display,0,0,0
2016-04-16,377915914,LICHL-Display,0,0,0
2016-04-18,377915914,LICHL-Display,0,0,0
2016-04-20,377915914,LICHL-Display,0,0,0
2016-04-28,377915914,LICHL-Display,0,0,0
2016-04-30,377915914,LICHL-Display,0,0,0
2016-05-03,377915914,LICHL-Display,0,0,0
2016-05-04,377915914,LICHL-Display,0,0,0
2016-05-09,377915914,LICHL-Display,0,0,0
2016-05-10,377915914,LICHL-Display,0,0,0
2016-04-13,377917954,LICHFL-(Display),0,0,0
2016-04-18,377917954,LICHFL-(Display),0,0,0
2016-04-19,377917954,LICHFL-(Display),0,0,0
2016-04-20,377917954,LICHFL-(Display),0,0,0
2016-04-25,377917954,LICHFL-(Display),0,0,0
2016-04-26,377917954,LICHFL-(Display),0,0,0
2016-04-27,377917954,LICHFL-(Display),0,0,0
2016-04-28,377917954,LICHFL-(Display),0,0,0
2016-04-29,377917954,LICHFL-(Display),0,0,0
2016-05-01,377917954,LICHFL-(Display),0,0,0
2016-05-02,377917954,LICHFL-(Display),0,0,0
2016-05-03,377917954,LICHFL-(Display),0,0,0
2016-05-04,377917954,LICHFL-(Display),0,0,0
2016-05-05,377917954,LICHFL-(Display),0,0,0
2016-05-07,377917954,LICHFL-(Display),0,0,0
2016-05-09,377917954,LICHFL-(Display),0,0,0
2016-04-13,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-04-14,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-04-15,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-04-16,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-04-20,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-04-21,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-04-24,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-04-25,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-04-26,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-05-02,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-05-03,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-05-04,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-05-05,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-05-06,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-05-10,380380114,Hindwarehome Video ( 15 Sec),0,0,0
2016-04-12,381641554,Hindware Video Campaign,0,0,0
2016-04-14,381641554,Hindware Video Campaign,0,0,0
2016-04-17,381641554,Hindware Video Campaign,0,0,0
2016-04-21,381641554,Hindware Video Campaign,0,0,0
2016-04-22,381641554,Hindware Video Campaign,0,0,0
2016-04-23,381641554,Hindware Video Campaign,0,0,0
2016-04-24,381641554,Hindware Video Campaign,0,0,0
2016-04-25,381641554,Hindware Video Campaign,0,0,0
2016-04-26,381641554,Hindware Video Campaign,0,0,0
2016-04-27,381641554,Hindware Video Campaign,0,0,0
2016-04-28,381641554,Hindware Video Campaign,0,0,0
2016-04-29,381641554,Hindware Video Campaign,0,0,0
2016-04-30,381641554,Hindware Video Campaign,0,0,0
2016-05-01,381641554,Hindware Video Campaign,0,0,0
2016-05-04,381641554,Hindware Video Campaign,0,0,0
2016-05-06,381641554,Hindware Video Campaign,0,0,0
2016-05-07,381641554,Hindware Video Campaign,0,0,0
2016-05-10,381641554,Hindware Video Campaign,0,0,0
2016-05-11,381641554,Hindware Video Campaign,0,0,0
2016-04-12,382431634,LICHFL ( REVISED),0,0,0
2016-04-13,382431634,LICHFL ( REVISED),0,0,0
2016-04-17,382431634,LICHFL ( REVISED),0,0,0
2016-04-19,382431634,LICHFL ( REVISED),0,0,0
2016-04-22,382431634,LICHFL ( REVISED),0,0,0
2016-04-25,382431634,LICHFL ( REVISED),0,0,0
2016-04-28,382431634,LICHFL ( REVISED),0,0,0
2016-04-29,382431634,LICHFL ( REVISED),0,0,0
2016-04-30,382431634,LICHFL ( REVISED),0,0,0
2016-05-01,382431634,LICHFL ( REVISED),0,0,0
2016-05-02,382431634,LICHFL ( REVISED),0,0,0
2016-05-03,382431634,LICHFL ( REVISED),0,0,0
2016-05-05,382431634,LICHFL ( REVISED),0,0,0
2016-05-06,382431634,LICHFL ( REVISED),0,0,0
2016-05-08,382431634,LICHFL ( REVISED),0,0,0
2016-05-09,382431634,LICHFL ( REVISED),0,0,0
