"KEYWORDS_PERFORMANCE_REPORT (Jan 1, 2016-Nov 30, 2016)"
Day,Campaign ID,Campaign,Keyword ID,Keyword,Impressions,Clicks,Conversions,Cost
2016-03-10,382431634,LICHFL ( REVISED),47002745563,private finance loan against property,1,0,0.0,0
2016-03-10,366284074,Moonbow Air purifier Launch ( Search),12852921,humidifier,32,0,0.0,0
2016-01-07,363250354,Batman Delivery,79334269044,batman delivers gurgaon menu,2,0,0.0,0
2016-03-11,366284074,Moonbow Air purifier Launch ( Search),2940756565,air purifier and air conditioner,1,0,0.0,0
2016-03-13,382431634,LICHFL ( REVISED),47673896767,lichfl financial services ltd,2,0,0.0,0
2016-01-19,366284074,Moonbow Air purifier Launch ( Search),12205430,hepa air purifiers,31,0,0.0,0
2016-02-20,373628914,[S[Moonbow_Air Filter]: Generic,5677974053,air filter cost,4,0,0.0,0
2016-03-20,382816714,Moonbow search(revised),286222559,fresh air air purifier,1,0,0.0,0
2016-01-23,366284074,Moonbow Air purifier Launch ( Search),113351705,household air purifier,25,0,0.0,0
2016-01-02,363250354,Batman Delivery,12700925155,food delivery in gurgaon,39,0,0.0,0
2016-03-14,382816714,Moonbow search(revised),13812660,vacuum cleaner filter,7,0,0.0,0
2016-02-28,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,1586851949,top air purifiers,1,0,0.0,0
2016-02-24,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,31051601,portable air purifier,1,0,0.0,0
2016-02-20,366284074,Moonbow Air purifier Launch ( Search),20181581,air ioniser,2,0,0.0,0
2016-02-10,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,1586851949,top air purifiers,1,0,0.0,0
2016-03-23,366284074,Moonbow Air purifier Launch ( Search),68159040,honeywell purifier,2,0,0.0,0
2016-03-06,377282074,LICHFL - Search campaign,427408280,affordable housing loans,2,0,0.0,0
2016-03-12,382431634,LICHFL ( REVISED),4680880080,credit score india,2,0,0.0,0
2016-02-25,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,15386782,home air purifier,5,0,0.0,0
2016-03-13,382431634,LICHFL ( REVISED),928161286,housing finance ltd,19,1,0.0,21270000
2016-03-10,382431634,LICHFL ( REVISED),11797002794,bank home loan emi calculator,9,0,0.0,0
2016-03-14,382431634,LICHFL ( REVISED),12912212651,lic home loan status,49,5,0.0,16280000
2016-03-13,382431634,LICHFL ( REVISED),51855536354,plot purchase loan from lic,2,0,0.0,0
2016-03-20,382816714,Moonbow search(revised),14356590,air ionizers,1,0,0.0,0
2016-02-19,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,32541991908,"+air +purifying +systems",2,0,0.0,0
2016-02-12,366284074,Moonbow Air purifier Launch ( Search),118978863,cheap air purifier,2,0,0.0,0
2016-02-27,366284074,Moonbow Air purifier Launch ( Search),17464850,commercial air purifier,1,0,0.0,0
2016-02-24,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,560590232,tower air purifier,1,0,0.0,0
2016-01-30,366284074,Moonbow Air purifier Launch ( Search),68159040,honeywell purifier,2,0,0.0,0
2016-02-28,377282074,LICHFL - Search campaign,10042200,home loans,17,1,0.0,10510000
2016-03-15,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,14586851,air purifier,796,8,0.0,430730000
2016-01-28,366284074,Moonbow Air purifier Launch ( Search),453386354,air filter fan,1,0,0.0,0
2016-01-16,366284074,Moonbow Air purifier Launch ( Search),4973957664,air purifier remove dust,1,0,0.0,0
2016-03-03,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,271787184,ozone air purification,1,0,0.0,0
2016-03-02,366284074,Moonbow Air purifier Launch ( Search),17877952,high performance air filter,1,0,0.0,0
2016-02-20,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,20423831281,"+air +purifier +humidifier",5,0,0.0,0
2016-02-12,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,113230602,household air cleaners,1,0,0.0,0
2016-02-17,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,31588492760,"+air +purifiers +for +homes",1,0,0.0,0
2016-03-11,366284074,Moonbow Air purifier Launch ( Search),6521513245,uv light purifier,3,0,0.0,0
2016-02-11,366284074,Moonbow Air purifier Launch ( Search),20181581,air ioniser,3,0,0.0,0
2016-02-21,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,259950336,sharp air purifier,51,2,0.0,76200000
2016-03-22,366284074,Moonbow Air purifier Launch ( Search),188525688274,hindware air purifier,2,0,0.0,0
