"AUDIENCE_PERFORMANCE_REPORT (Apr 1, 2016-Jul 1, 2016)"
Day,Campaign ID,Campaign,Audience,Impressions,Clicks,Conversions,Cost
2016-04-13,390878914,TNT GDN,uservertical::92001,1055,1,0.0,1265400
2016-04-06,390878914,TNT GDN,uservertical::92001,81,0,0.0,82200
2016-04-14,390878914,TNT GDN,uservertical::92001,109,0,0.0,149640
2016-04-17,390878914,TNT GDN,uservertical::92001,165,0,0.0,216570
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::92300,20,0,0.0,6570000
2016-04-12,390878914,TNT GDN,uservertical::92001,1161,0,0.0,1198260
2016-04-03,390878914,TNT GDN,uservertical::92001,115,0,0.0,106050
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::90800,14,0,0.0,10120000
2016-04-16,390878914,TNT GDN,uservertical::92001,183,0,0.0,239630
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92601,5,0,0.0,1970000
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::91900,1281,3,0.0,477200000
2016-04-18,390878914,TNT GDN,uservertical::92002,4461,1,0.0,6008200
2016-04-08,390878914,TNT GDN,uservertical::92002,17608,1,0.0,33108300
2016-04-06,390878914,TNT GDN,uservertical::92911,18824,3,0.0,26137540
2016-04-10,390878914,TNT GDN,uservertical::92002,25386,4,0.0,41792720
2016-04-06,390878914,TNT GDN,uservertical::92002,4256,1,0.0,6639110
2016-04-12,390878914,TNT GDN,uservertical::92002,7282,3,0.0,10325120
2016-04-15,390878914,TNT GDN,uservertical::92002,47637,9,0.0,73899550
2016-04-11,390878914,TNT GDN,uservertical::92002,4186,2,0.0,7926010
2016-04-01,390878914,TNT GDN,uservertical::92002,24611,2,0.0,38701870
2016-04-06,390878914,TNT GDN,uservertical::92911,1315,0,0.0,1787340
2016-04-10,390878914,TNT GDN,uservertical::92002,2513,1,0.0,4283540
2016-04-13,390878914,TNT GDN,uservertical::92002,49480,14,0.0,78180200
2016-04-09,390878914,TNT GDN,uservertical::92911,11728,3,0.0,18812830
2016-04-14,390878914,TNT GDN,uservertical::92911,22731,7,0.0,37937790
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92400,2,0,0.0,0
2016-04-09,390878914,TNT GDN,uservertical::92002,22793,3,0.0,38960230
2016-04-03,390878914,TNT GDN,uservertical::92002,35873,7,0.0,49800790
2016-04-16,390878914,TNT GDN,uservertical::92911,32406,2,0.0,53426340
2016-04-07,390878914,TNT GDN,uservertical::92002,7789,1,0.0,14605260
2016-04-05,390878914,TNT GDN,uservertical::92911,21668,4,0.0,30125110
2016-04-04,390878914,TNT GDN,uservertical::92911,687,0,0.0,939660
