Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Insertion Order,Insertion Order ID,Insertion Order Status,Insertion Order Integration Code,Line Item,Line Item ID,Line Item Status,Line Item Integration Code,Targeted Data Providers,Creative,Creative ID,DCM Placement ID,Creative Status,Creative Source,Creative Integration Code,Advertiser Currency,Impressions,Billable Impressions,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions,Revenue (Adv Currency),Media Cost (Advertiser Currency),Click Rate (CTR)
CUBE ROOT ( Combind ),1065250,Active,,Moneygram for KSA-ID Corridor,2688585,Paused,,Moneygram for KSA-ID Corridor,8989303,Paused,,,moneygram ( 300x250),31054359,140140869,Active,DCM,,INR,2347163,2347163.00,1684,0.00,0.00,0.00,3758.208305,3268.007222,0.072%
CUBE ROOT ( Combind ),1065250,Active,,Bisleri -OCT 16(28 OCT-6 NOV)_New,2738759,Active,,Bisleri_Grofers Apps,9182289,Active,,,Bisleri-Grofers_3Nov2016_728x90,32714631,140908793,Active,DCM,,INR,3801336,3801336.00,2024,0.00,0.00,0.00,4356.649202,3788.390610,0.053%
CUBE ROOT ( Combind ),1065250,Active,,Bisleri -OCT 16(28 OCT-6 NOV)_New,2738759,Active,,Bisleri_Grofers Apps,9182289,Active,,,Bisleri-Grofers_3nov2016_320x480,32721488,140897195,Active,DCM,,INR,430733,430733.00,31193,0.00,0.00,0.00,578.355386,502.917727,7.242%
CUBE ROOT ( Combind ),1065250,Active,,Moneygram for KSA-ID Corridor,2688585,Paused,,Moneygram for KSA-ID Corridor,8989303,Paused,,,Moneygram (300x100),31059596,140140669,Active,DCM,,INR,78663,78663.00,50,0.00,0.00,0.00,91.505288,79.569816,0.064%
9711,1167837,Active,,9711 ( DBM),2438481,Active,,9711-DBM,7713185,Active,,,9711-160x600,25277621,134982539,Active,User,,INR,149173,149173.00,281,0.00,0.00,0.00,183.591604,159.644873,0.188%
9711,1167837,Active,,9711 ( DBM),2438481,Active,,9711-DBM,7713185,Active,,,9711-300x250,25277617,134982834,Active,User,,INR,1029022,1029022.00,2433,0.00,0.00,0.00,1366.573958,1188.325181,0.236%
CUBE ROOT ( Combind ),1065250,Active,,Bisleri -OCT 16(28 OCT-6 NOV),2716506,Paused,,Bisleri -OCT 16(28 OCT-6 NOV),9124698,Paused,,,Bisleri-468x60,32160021,140681471,Active,DCM,,INR,59,59.00,0,0.00,0.00,0.00,0.084216,0.073231,0.000%
CUBE ROOT ( Combind ),1065250,Active,,Bisleri -OCT 16(28 OCT-6 NOV)_New,2738759,Active,,Bisleri_Grofers Apps,9182289,Active,,,Bisleri_Grofers_3nov2016_480x320,32720802,140904564,Active,DCM,,INR,6755,6755.00,103,0.00,0.00,0.00,14.371175,12.496674,1.525%
CUBE ROOT ( Combind ),1065250,Active,,Moneygram for KSA-ID Corridor,2688585,Paused,,Moneygram for KSA-ID Corridor,8989303,Paused,,,Moneygram ( 320x90),31059588,140132014,Active,DCM,,INR,79002,79002.00,27,0.00,0.00,0.00,91.624765,79.673709,0.034%
VIDEO-IOs,1143438,Active,,Love You Zindagi,2739056,Paused,,Love you Zindagi- TrueView,692455678,Paused,,,Unknown,Unknown,,Unknown,Unknown,,INR,19613,19613.00,49,0.00,0.00,0.00,5029.664586,4836.215948,0.250%
Videocon_D2H_Nov2016,888340,Active,,VIDEOCOND2H- WEB,2739044,Active,,VIDEOCOND2H- WEB,9181004,Active,,,VD2H- 320x480_web,32714892,140903552,Active,DCM,,INR,101,101.00,3,0.00,0.00,0.00,0.131075,0.113978,2.970%
,,,,,,,,,,,,,,,,,,,,11140734,11140734.00,41112,0.00,0.00,0.00,21413.416254,19082.956529,0.369%

Report Time:,2016/11/09 11:22 GMT
Date Range:,2016/10/30 to 2016/11/05
Group By:,Advertiser
Group By:,Advertiser ID
Group By:,Advertiser Status
Group By:,Advertiser Integration Code
Group By:,Insertion Order
Group By:,Insertion Order ID
Group By:,Insertion Order Status
Group By:,Insertion Order Integration Code
Group By:,Line Item
Group By:,Line Item ID
Group By:,Line Item Status
Group By:,Line Item Integration Code
Group By:,Targeted Data Providers
Group By:,Creative
Group By:,Creative ID
Group By:,DCM Placement ID
Group By:,Creative Status
Group By:,Creative Source
Group By:,Creative Integration Code
Group By:,Advertiser Currency
Filter by Partner ID:,610940
